3648;QUERO SABER;GIPSY KINGS; 
3592;RAIN;JOSE FELICIANO; 
3734;RAINBOW EYES;RAINBOW; 
3875;RELAX;FRANKIE GOES TO HOLLYWOOD; 
3593;REGRETS;MYLENE FARMER; 
3735;REVOLUTION;BEATLES; 
3460;ROCK ME AFTER MIDNIGHT;ARABESQUE; 
3736;ROCKY RACCOON;BEATLES; 
3737;ROLL OVER BEETHOVEN;BEATLES; 
3461;ROLLER STAR;ARABESQUE; 
3594;ROSE GARDEN;LYNN ANDERSON; 
3738;ROUGH BOY;ZZ TOP; 
3739;SAME OLD SONGS AND DANCE;AEROSMITH; 
3650;SANTA LUCIA;LUCIANO PAVAROTTI;•
3651;SARA';TOTO CUTUGNO; 
3753;SAVE THE WORLD;GEORGE HARRISON; 
3870;SAY YOU, SAY ME;LIONEL RICHIE;•
3855;SCAR TISSUE;RED HOT CHILI PEPPERS; 
3881;SEALED WITH A KISS;JASON DONOVAN; 
3741;SEASONS OF WITHER;AEROSMITH; 
3652;SERENATA;TOTO CUTUGNO;•
3653;SELEN DAFFODILS;THE BROTHERS FOUR; 
3730;SGT. PEPPER'S LONELY HEARTS CLUB BAND;BEATLES;•
3462;SHADOWS;SANDRA; 
3743;SHINE ON BRIGHTLY;PROCOL HARUM; 
3704;SIMPLE MAN;LOBO; 
3552;SINCE YOU'VE BEEN GONE;NEVERGREEN; 
3654;SINFONIA;TOTO CUTUGNO;•
3655;SING AN ODE TO LOVE;DEMIS ROUSSOS; 
3463;SIX TIMES A DAY;ARABESQUE; 
3850;SMOOTH CRIMINAL;MICHAEL JACKSON;•
3656;SOLI;ADRIANO CELENTANO;•
3622;SOLO NOI;TOTO CUTUGNO;•
3867;SOMEBODY`S CRYING;CHRIS ISAAK;•
3464;SOMEONE IS WAITING FOR YOU;ARABESQUE; 
3744;SOMEPLACE ELSE;GEORGE HARRISON; 
3847;SOMETHING;THE BEATLES; 
3620;SOY;GIPSY KINGS; 
3745;SPOTLIGHT KID;RAINBOW; 
3553;STAIRWAY TO HEAVEN;LED ZEPPELIN; 
3746;STAND BY ME;JOHN LENNON; 
3747;STILL LOVING YOU;SCORPIONS;•
3644;STORIA D'AMORE;ADRIANO CELENTANO; 
3748;STRAWBERRY FIELDS FOREVER;BEATLES; 
3749;STUMBLIN'IN;SUZY QUATRO; 
3668;SUMMER HOLIDAY;CLIFF RICHARD; 
3758;SUMMER MOVED ON;A-HA; 
3612;SUMMER TIME;LOUIS ARMSTRONG; 
3750;SUMMER'68;PINK FLOYD; 
3613;SUNNY;BONEY M; 
3802;SURFIN' USA;BEACH BOYS; 
3762;SURFING BAHAMA;ARABESQUE; 
3614;SUSANNA;ADRIANO CELENTANO; 
3751;SUSIE-Q;C.C.R.; 
3824;SWEET DREAMS;EURYTHMICS; 
3595;TAKE IT EASY;EAGLES; 
3660;TAKE ME HOME COUNTRY ROAD;JOHN DENVER; 
3589;TAKE ME, DON'T BREAK ME;ARABESQUE; 
3752;TEARDROPS;GEORGE HARRISON; 
3675;THE AGE OF THE CATHEDRALS;NOTRE DAME DE PARIS; 
3859;THE BLUE CAFЙ;CHRIS REA; 
3716;THE DAY THE WORLDS GETS ROUND;GEORGE HARRISON; 
3615;THE DUMMY SONG;LOUIS ARMSTRONG; 
3616;THE END OF THE WORLD;SKEETER DAVIS; 
3740;THE GOLD IT'S IN THE...;PINK FLOYD; 
3617;THE HOME FIRE;LOUIS ARMSTRONG; 
3630;THE ONLY NIGHT;ARABESQUE; 
3676;THE PAGAN AVE MARIA;NOTRE DAME DE PARIS; 
3554;THE ROAD TO HELL;CHRIS REA; 
3618;THE SECOND TIME AROUND;FRANK SINATRA; 
3609;THE VOICE OF ENIGMA;ENIGMA; 
3662;THE WIND CRIES MARY;JIMI HENDRIX; 
3633;THERE MUST BE AN ANGEL;EURYTHMICS;•
3458;THIS ALONE IS LOVE;A-HA; 
3619;THIS MASQUERADE;LEON RUSSELL; 
3661;TIE YELLOW RIBBON ROUND THE OLE OAK TREE;DAWN; 
3597;TIME;GLEN CAMPBELL; 
3708;TIME IS ON MY SIDE;ROLLING STONES; 
3790;TOMBE LA NEIGE;SALVATORE ADAMO;•
3709;TOMORROWS DREAM;BLACK SABBATH; 
